doi,title,first_author,year,journal,source,file,oa_status,added_by,added_at
10.1101/2024.07.11.24310302,Phosphoproteomics uncovers exercise intensity-specific signaling networks underlying high-intensity interval training in human skeletal muscle,Nolan J. Hoffman,2024,medRxiv,hargreaves2020,2024_Nolan-J-Hoffman_W4400599799.pdf,green,team,2026-06-05
10.5432/jjpehss.23076,Effect of high-intensity exercise on fat oxidation followed by endurance training.,Shota Oki,2024,Taiikugaku kenkyu (Japan Journal of Physical Education Health and Sport Sciences),hargreaves2020,2024_Oki_W4396878328.pdf,diamond,team,2026-06-05
10.21203/rs.3.rs-3893518/v1,Proposing the flexible application of heat safety thresholds for junior high and high school sports clubs in Japan,Takahiro Oyama,2024,Research Square,hargreaves2020,2024_Oyama_W4391231686.pdf,green,team,2026-06-05
10.24917/20837283.8.4,Trening miofunkcjonalny w ujęciu fizjologii wysiłku fizycznego,Piotr Koprowski,2024,Annales Universitatis Paedagogicae Cracoviensis Studia Logopaedica,hargreaves2020,2024_Piotr-Koprowski_W4405887932.pdf,diamond,team,2026-06-05
10.14814/phy2.70020,Increased resting lactate levels and reduced carbohydrate intake cause νLa.max underestimation by reducing net lactate accumulation—A pilot study in young adults,Alexander Pohl,2024,Physiological Reports,hargreaves2020,2024_Pohl_W4401894946.pdf,gold,team,2026-06-05
10.22159/ajpcr.2024v17i12.52554,"A RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED STUDY ON STANDARDIZED FENUGREEK SEED EXTRACT COMPOSITION FOR ENDURANCE ENHANCEMENT IN RECREATIONALLY ACTIVE YOUNG SUBJECTS",Prasad Thakurdesai,2024,Asian Journal of Pharmaceutical and Clinical Research,hargreaves2020,2024_Prasad-Thakurdesai_W4405398920.pdf,diamond,team,2026-06-05
10.1016/j.heliyon.2024.e24296,Training methods and evaluation of basketball players’ agility quality: A systematic review,Pukui Wang,2024,Heliyon,hargreaves2020,2024_Pukui-Wang_W4390651281.pdf,gold,team,2026-06-05
10.1101/2024.01.28.577634,Modulation of locomotion and motor neuron response by the cohesive effect of acute and chronic feeding states and acute d-amphetamine treatment in zebrafish larvae,Pushkar Bansal,2024,bioRxiv (Cold Spring Harbor Laboratory),hargreaves2020,2024_Pushkar-Bansal_W4391344102.pdf,green,team,2026-06-05
10.1002/brb3.70173,<scp>d</scp> ‐Amphetamine and Feeding States Cohesively Affect Locomotion and Motor Neuron Response in Zebrafish Larvae,Pushkar Bansal,2024,Brain and Behavior,hargreaves2020,2024_Pushkar-Bansal_W4405097684.pdf,gold,team,2026-06-05
10.1371/journal.pone.0313165,Lack of sex-specific differences in the associations between the dimensions of great vessels and exercise performance in amateur cyclists,Michał Pytka,2024,PLoS ONE,hargreaves2020,2024_Pytka_W4404041831.pdf,gold,team,2026-06-05
10.1002/advs.202308032,Metabolic Profiling of Cochlear Organoids Identifies α‐Ketoglutarate and NAD<sup>+</sup> as Limiting Factors for Hair Cell Reprogramming,Qing Liu,2024,Advanced Science,hargreaves2020,2024_Qing-Liu_W4400593429.pdf,gold,team,2026-06-05
10.1007/s00592-024-02311-3,Comparative study on muscle function in two different streptozotocin-induced diabetic models,Rahmawati Aisyah,2024,Acta Diabetologica,hargreaves2020,2024_Rahmawati-Aisyah_W4399503216.pdf,hybrid,team,2026-06-05
10.3390/sports12030082,The Effect of Oral Adenosine Triphosphate (ATP) Supplementation on Anaerobic Exercise in Healthy Resistance-Trained Individuals: A Systematic Review and Meta-Analysis,Roberto González-Marenco,2024,Sports,hargreaves2020,2024_Roberto-Gonz-lez-Marenco_W4392817069.pdf,gold,team,2026-06-05
10.4103/mgr.medgasres-d-24-00013,Unveiling the link: exploring muscle oxygen saturation in fibromyalgia and its implications for symptomatology and therapeutic strategies,Alejandro Rubio-Zarapuz,2024,Medical Gas Research,hargreaves2020,2024_Rubio-Zarapuz_W4395960896.pdf,hybrid,team,2026-06-05
10.47197/retos.v53.102429,Impact of Time-Resricted Feeding and Aerobic Exercise Combination on Promotes Myokine Levels and Improve Body Composition in Obese Women,Afdhalia Rahma Sari,2024,Retos,hargreaves2020,2024_Sari_W4391487120.pdf,gold,team,2026-06-05
10.33024/jmm.v7i4.11460,PERAN INTERLEUKIN-6 PADA OLAHRAGA : KAJIAN PUSTAKA,Sharlini Desfika Nasution,2024,Jurnal Medika Malahayati,hargreaves2020,2024_Sharlini-Desfika-Nasution_W4392393554.pdf,diamond,team,2026-06-05
10.1080/02640414.2024.2421691,"Exercise intensity measurement using fractal analysis of heart rate variability: Reliability, agreement and influence of sex and cardiorespiratory fitness",Samrat Sheoran,2024,Journal of Sports Sciences,hargreaves2020,2024_Sheoran_W4404001830.pdf,hybrid,team,2026-06-05
